,Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
52,Aidan McDonough,VAN,6,1,0,1,-2,1,2,4,2,3,7,0,0,2,1,0,100,2023
53,Oskar Steen,BOS,3,1,0,1,0,0,0,5,0,0,3,1,1,0,0,1,0,2023
54,Nathan Smith,ARI,4,0,0,0,-1,2,4,2,3,1,6,1,3,3,9,11,45,2023
55,David Rittich,WPG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
56,Nikita Nesterenko,ANA,10,1,0,1,-3,0,0,23,2,5,6,3,4,1,0,3,0,2023
57,Andrew Agozzino,S.J,4,1,2,3,-1,0,0,9,1,2,12,1,0,4,1,0,100,2023
58,Wyatt Kaiser,CHI,9,0,3,3,-4,2,4,13,7,6,5,13,0,10,0,0,0,2023
59,Simon Edvinsson,DET,9,2,0,2,-7,6,12,6,4,3,11,4,4,8,0,0,0,2023
60,Mike Hardman,CHI,8,0,0,0,-2,0,0,7,0,5,25,2,3,6,6,4,60,2023
61,Ville Husso,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
62,Egor Afanasyev,NSH,17,1,0,1,-7,1,2,21,6,4,23,2,1,13,0,0,0,2023
63,Tyson Foerster,PHI,8,3,4,7,2,3,8,15,4,8,12,1,1,10,0,0,0,2023
64,Bokondji Imama,ARI,5,0,0,0,-2,1,5,0,2,1,13,0,0,2,0,0,0,2023
65,Derrick Pouliot,S.J,8,0,2,2,-1,3,6,4,8,2,10,4,4,9,0,0,0,2023
66,Alex Nylander,PIT,11,1,1,2,1,3,6,11,6,4,12,0,5,3,1,1,50,2023
67,Nikolai Knyzhov,S.J,12,1,0,1,-13,4,8,10,5,4,11,9,3,16,0,0,0,2023
68,Frederic Allard,MTL,3,0,0,0,2,0,0,6,1,6,0,3,0,2,0,0,0,2023
69,William Eklund,S.J,8,2,1,3,-5,3,6,18,11,5,7,5,1,6,2,4,33.33,2023
70,Vincent Iorio,WSH,3,0,1,1,0,0,0,3,5,1,2,3,1,3,0,0,0,2023
71,Gabriel Carlsson,WSH,6,0,2,2,-1,0,0,3,2,1,4,2,1,1,0,0,0,2023
72,Alex Chiasson,DET,20,6,3,9,-8,3,6,25,5,9,14,3,4,6,0,7,0,2023
73,Darren Raddysh,TBL,17,1,2,3,-4,2,4,25,16,6,25,9,3,16,0,0,0,2023
74,Michael Kesselring,ARI,9,0,3,3,-1,3,6,8,7,10,12,3,2,7,0,0,0,2023
75,John Leonard,NSH,6,1,0,1,0,1,2,4,4,3,4,3,4,4,0,0,0,2023
76,Vladislav Kolyachonok,ARI,2,0,0,0,0,0,0,2,0,0,2,0,1,2,0,0,0,2023
77,Robby Fabbri,DET,28,7,7,14,-1,7,22,35,10,18,49,12,6,15,10,16,38.46,2023
78,David Gust,CHI,4,1,0,1,-2,1,2,7,5,1,3,1,1,1,0,0,0,2023
79,Elliot Desnoyers,PHI,4,0,0,0,-2,0,0,3,2,2,9,1,2,4,9,14,39.13,2023
80,Anthony Duclair,FLA,20,2,7,9,4,1,2,43,17,22,20,9,6,9,0,0,0,2023
81,Jesper Froden,SEA,15,0,4,4,4,3,6,10,0,10,11,5,7,6,0,0,0,2023
82,Dakota Mermis,MIN,2,0,0,0,-1,0,0,1,2,1,2,0,0,3,0,0,0,2023
83,Marco Scandella,STL,20,1,1,2,3,3,6,17,22,2,27,10,7,26,0,0,0,2023
84,Arnaud Durandeau,NYI,4,0,0,0,1,1,2,9,1,1,3,0,1,2,0,1,0,2023
85,Matthew Highmore,STL,2,0,0,0,1,0,0,2,1,0,4,0,1,0,0,0,0,2023
86,Christian Wolanin,VAN,16,0,3,3,4,2,4,16,11,7,4,5,1,11,0,0,0,2023
87,Pheonix Copley,L.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
88,Fredrik Karlstrom,DAL,5,0,0,0,1,0,0,6,2,0,1,1,1,1,0,0,0,2023
89,Andy Andreoff,NYI,3,0,1,1,-3,0,0,1,1,0,7,1,1,1,3,4,42.86,2023
90,Dylan McIlrath,WSH,6,0,1,1,-6,2,7,1,7,9,14,2,0,7,0,0,0,2023
91,Cole Guttman,CHI,14,4,2,6,1,1,2,26,12,4,4,11,12,6,88,81,52.07,2023
92,Otto Koivula,NYI,8,0,1,1,1,2,4,5,2,1,6,1,2,4,13,8,61.9,2023
93,Victor Soderstrom,ARI,30,0,9,9,-3,11,24,31,35,13,17,22,3,39,0,0,0,2023
94,Alex Steeves,TOR,3,0,0,0,-2,0,0,3,0,2,3,0,2,0,0,0,0,2023
95,MariÁn Studenic,DAL,3,0,0,0,-1,0,0,4,0,2,3,3,0,0,0,0,0,2023
