Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
Andreas Athanasiou,L.A,28,11,6,17,7,2,4,71,19,33,11,9,15,10,13,7,65,2022
Alexander Holtz,N.J,9,0,2,2,-5,1,2,12,6,5,5,1,5,2,0,0,0,2022
Ben McCartney,ARI,2,0,0,0,0,2,4,2,1,1,7,0,0,0,0,1,0,2022
Cam Dineen,ARI,34,0,7,7,-16,2,4,52,28,30,22,18,6,44,0,0,0,2022
Nicolas Beaudin,CHI,2,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,2022
Artemi Kniazev,S.J,1,0,0,0,-2,0,0,2,0,1,1,0,0,0,0,0,0,2022
Brad Richardson,CGY,44,4,4,8,0,12,35,31,21,17,59,9,7,20,139,99,58.4,2022
Pierre-Olivier Joseph,PIT,5,0,0,0,-2,1,2,7,4,2,6,1,5,4,0,0,0,2022
Maxim Mamin,FLA,41,6,7,13,8,5,13,48,15,17,59,19,9,17,0,2,0,2022
Chase Priskie,FLA,6,0,0,0,2,1,2,4,2,1,3,4,1,3,0,0,0,2022
Semyon Varlamov,NYI,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,100,2022
Gavin Bayreuther,CBJ,43,0,8,8,-1,8,22,44,20,21,50,12,12,45,0,0,0,2022
Kiefer Sherwood,COL,11,1,1,2,3,0,0,9,4,1,12,1,4,4,1,0,100,2022
Travis Hamonic,VAN,43,4,6,10,7,7,14,82,62,27,73,31,6,92,0,0,0,2022
Thomas Harley,DAL,34,1,3,4,-4,3,6,36,25,24,30,18,9,30,0,0,0,2022
Austin Watson,OTT,67,10,6,16,-4,32,96,88,29,31,214,15,15,63,7,13,35,2022
Michael Pezzetta,MTL,53,5,6,11,-6,23,79,49,12,16,156,24,4,9,6,5,54.55,2022
Aliaksei Protas,WSH,33,3,6,9,4,0,0,34,17,10,20,14,8,12,56,69,44.8,2022
Cal Foote,TBL,56,2,7,9,3,13,29,49,37,26,83,15,4,58,0,0,0,2022
Max McCormick,SEA,11,0,0,0,1,5,10,8,2,5,11,1,2,3,2,2,50,2022
Brett Murray,BUF,19,2,4,6,-3,5,23,14,3,8,17,5,4,2,0,0,0,2022
Vinni Lettieri,ANA,31,5,5,10,-8,3,6,50,15,21,40,10,6,17,12,11,52.17,2022
Seth Jarvis,CAR,68,17,23,40,12,9,18,110,36,57,69,33,15,22,11,14,44,2022
Kyle Rau,MIN,6,0,0,0,-3,0,0,3,2,0,6,0,0,0,1,1,50,2022
Calen Addison,MIN,17,2,2,4,-4,1,2,17,12,7,12,1,0,6,0,0,0,2022
Adam Beckman,MIN,3,0,1,1,-1,1,2,4,2,0,1,2,1,1,0,0,0,2022
Niko Mikkola,STL,54,3,10,13,-6,26,55,58,31,21,109,25,7,81,0,0,0,2022
Jaycob Megna,S.J,44,2,6,8,-1,8,16,40,32,11,71,23,18,92,0,0,0,2022
Nick Merkley,S.J,9,1,2,3,-2,0,0,7,3,5,9,3,7,2,6,5,54.55,2022
Santeri Hatakka,S.J,9,0,2,2,-5,1,2,3,1,3,5,3,1,7,0,0,0,2022
Nicolas Meloche,S.J,51,2,5,7,-17,17,39,36,42,15,158,26,17,54,0,0,0,2022
John Leonard,S.J,15,1,1,2,-5,0,0,25,4,7,13,5,1,7,1,1,50,2022
Ryan Merkley,S.J,39,1,5,6,-10,4,8,36,40,8,12,28,13,22,0,0,0,2022
Sidney Crosby,PIT,69,31,53,84,19,16,32,208,62,64,50,54,34,37,760,690,52.41,2022
Joe Veleno,DET,66,8,7,15,-14,11,22,73,28,24,123,12,19,25,221,237,48.25,2022
Jordan Oesterle,DET,46,2,6,8,-9,2,4,63,24,14,27,17,6,44,0,0,0,2022
Zac Dalpe,FLA,1,0,0,0,-1,0,0,0,0,0,2,0,0,1,1,3,25,2022
Kale Clague,L.A,38,2,8,10,-9,10,20,26,26,5,14,35,6,23,0,0,0,2022
Lias Andersson,L.A,21,1,1,2,-7,6,12,29,5,4,23,5,2,3,21,26,44.68,2022
Dylan Gambrell,OTT,63,3,3,6,1,6,12,58,12,32,103,13,11,39,295,309,48.84,2022
Isaak Phillips,CHI,4,0,0,0,0,2,4,4,1,1,3,4,2,1,0,0,0,2022
Brett Leason,WSH,36,3,3,6,1,2,4,45,13,9,16,4,9,14,3,5,37.5,2022
Markus Nutivaara,FLA,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2022
Jon Lizotte,MIN,1,0,0,0,0,1,2,1,0,0,3,0,0,4,0,0,0,2022
Jordie Benn,MIN,44,1,7,8,1,5,10,37,23,17,51,15,6,40,0,0,0,2022
Connor Dewar,MIN,36,2,4,6,-5,7,25,44,23,15,48,6,9,22,61,71,46.21,2022
Dakota Joshua,STL,30,3,5,8,6,5,16,31,8,10,77,8,7,10,40,35,53.33,2022
Jacob MacDonald,COL,9,0,0,0,-1,1,2,17,4,5,9,2,0,3,0,0,0,2022
Jakub Zboril,BOS,10,0,3,3,1,2,4,13,5,2,24,4,1,10,0,0,0,2022
Michael Stone,CGY,13,2,4,6,3,2,4,24,25,10,26,4,1,17,0,0,0,2022
Barrett Hayton,ARI,60,10,13,23,-10,10,20,81,34,34,84,18,18,33,412,447,47.96,2022
Patrick Brown,PHI,46,4,5,9,-16,4,11,51,14,18,100,14,9,36,242,172,58.45,2022
Jason Robertson,DAL,74,41,38,79,16,11,22,220,107,73,50,50,48,24,1,0,100,2022
Blake Comeau,DAL,6,1,0,1,-1,2,4,2,3,0,13,4,1,3,1,0,100,2022
