Player,Tm,Salary,Cap Hit,Year
Mattias Samuelsson,BUF,"2,285,716","4,285,714",2024
Mason Appleton,WPG,"2,250,000","2,166,667",2024
Joel Farabee,PHI,"2,250,000","5,000,000",2024
"Dadonov, Evgeni",DAL,"2,250,000","2,250,000",2024
Daniel Vladař,CGY,"2,200,000","2,200,000",2024
Mackenzie Blackwood,SJS,"2,200,000","2,350,000",2024
John Klingberg,TOR,"2,150,000","4,150,000",2024
"Paul, Nicholas",TBL,"2,150,000","3,150,000",2024
Barrett Hayton,ARI,"2,130,000","1,775,000",2024
Ryan McLeod,EDM,"2,100,000","2,100,000",2024
Stuart Skinner,EDM,"2,100,000","2,600,000",2024
Nick Bjugstad,ARI,"2,100,000","2,100,000",2024
Brandon Hagel,TBL,"2,050,000","1,500,000",2024
Trent Frederic,BOS,"2,050,000","2,300,000",2024
Erik Brännström,OTT,"2,000,000","2,000,000",2024
Marcus Johansson,MIN,"2,000,000","2,000,000",2024
Ryan Hartman,MIN,"2,000,000","1,700,000",2024
Jani Hakanpää,DAL,"2,000,000","1,500,000",2024
Jeremy Lauzon,NSH,"2,000,000","2,000,000",2024
Kevin Lankinen,NSH,"2,000,000","2,000,000",2024
Daniel Sprong,DET,"2,000,000","2,000,000",2024
Vladislav Namestnikov,WPG,"2,000,000","2,000,000",2024
Brenden Dillon,WPG,"2,000,000","3,900,000",2024
Nicolas Deslauriers,PHI,"2,000,000","1,750,000",2024
Jake McCabe,TOR,"2,000,000","2,000,000",2024
Travis Boyd,ARI,"2,000,000","1,750,000",2024
Sean Durzi,ARI,"2,000,000","1,700,000",2024
Alexander Barabanov,SJS,"2,000,000","2,500,000",2024
Nico Sturm,SJS,"2,000,000","2,000,000",2024
Nick Foligno,CHI,"2,000,000","4,000,000",2024
Corey Perry,CHI,"2,000,000","4,000,000",2024
Ryan Donato,CHI,"2,000,000","2,000,000",2024
Tyson Jost,BUF,"2,000,000","2,000,000",2024
Erik Johnson,BUF,"2,000,000","3,250,000",2024
Morgan Geekie,BOS,"2,000,000","2,000,000",2024
Sean Monahan,MTL,"1,985,000","1,985,000",2024
Brent Burns,CAR,"1,980,000","5,280,000",2024
Michael Rasmussen,DET,"1,900,000","1,460,000",2024
Casey DeSmith,VAN,"1,900,000","1,800,000",2024
Jacob Bryson,BUF,"1,900,000","1,850,000",2024
Klim Kostin,DET,"1,800,000","2,000,000",2024
Eric Comrie,BUF,"1,800,000","1,800,000",2024
Alexandre Texier,CBJ,"1,750,000","1,525,000",2024
Laurent Brossoit,WPG,"1,750,000","1,750,000",2024
Cal Clutterbuck,NYI,"1,750,000","1,750,000",2024
Owen Tippett,PHI,"1,750,000","1,500,000",2024
Connor Ingram,ARI,"1,750,000","1,950,000",2024
William Carrier,VEG,"1,750,000","1,400,000",2024
Colin Miller,NJD,"1,700,000","1,850,000",2024
Jake Evans,MTL,"1,700,000","1,700,000",2024
Yakov Trenin,NSH,"1,700,000","1,700,000",2024
Garnet Hathaway,PHI,"1,700,000","2,375,000",2024
Jeff Petry,DET,"1,687,500","2,343,750",2024
Blake Lizotte,LAK,"1,675,000","1,675,000",2024
Anthony DeAngelo,CAR,"1,675,000","1,675,000",2024
Alexis Lafrenière,NYR,"1,650,000","2,325,000",2024
Teddy Blueger,VAN,"1,650,000","1,900,000",2024
Anthony Cirelli,TBL,"1,625,000","6,250,000",2024
Michael Anderson,LAK,"1,600,000","4,125,000",2024
Pius Suter,VAN,"1,600,000","1,600,000",2024
Adin Hill,VEG,"1,600,000","4,900,000",2024
Rasmus Sandin,WSH,"1,600,000","1,400,000",2024
Jack McBain,ARI,"1,599,999","1,599,999",2024
Max Jones,ANA,"1,500,000","1,295,000",2024
Kailer Yamamoto,SEA,"1,500,000","1,500,000",2024
James Reimer,DET,"1,500,000","1,500,000",2024
Matt Martin,NYI,"1,500,000","1,500,000",2024
Evander Kane,EDM,"1,500,000","5,125,000",2024
Conor Sheary,TBL,"1,500,000","2,000,000",2024
Timothy Liljegren,TOR,"1,500,000","1,400,000",2024
Tomáš Tatar,COL,"1,500,000","1,500,000",2024
Michael Bunting,CAR,"1,500,000","4,500,000",2024
Antti Raanta,CAR,"1,500,000","1,500,000",2024
Ian Cole,VAN,"1,500,000","3,000,000",2024
Noel Acciari,PIT,"1,500,000","2,000,000",2024
Alex Nedeljkovic,PIT,"1,500,000","1,500,000",2024
Eetu Luostarinen,FLA,"1,500,000","1,500,000",2024
Eeli Tolvanen,SEA,"1,450,000","1,450,000",2024
Morgan Frost,PHI,"1,450,000","2,100,000",2024
Lars Eller,PIT,"1,450,000","2,450,000",2024
Michael McLeod,NJD,"1,400,000","1,400,000",2024
Jordan Harris,MTL,"1,400,000","1,400,000",2024
Ryan Poehling,PHI,"1,400,000","1,400,000",2024
Fabian Zetterlund,SJS,"1,400,000","1,450,000",2024
Keegan Kolesar,VEG,"1,400,000","1,400,000",2024
Nathan Bastian,NJD,"1,350,000","1,350,000",2024
Ryan Reaves,TOR,"1,350,000","1,350,000",2024
Carl Grundström,LAK,"1,300,000","1,300,000",2024
Morgan Barron,WPG,"1,300,000","1,350,000",2024
Dylan Samberg,WPG,"1,300,000","1,400,000",2024
Nic Dowd,WSH,"1,300,000","1,300,000",2024
"York, Cam",PHI,"1,300,000","1,600,000",2024
"Brown, Joshua",ARI,"1,300,000","1,275,000",2024
Erik Černák,TBL,"1,260,000","5,200,000",2024
Alexey Toropchenko,STL,"1,250,000","1,250,000",2024
Jarred Tinordi,CHI,"1,250,000","1,250,000",2024
"Benning, Matthew",SJS,"1,250,000","1,250,000",2024
Brendan Smith,NJD,"1,200,000","1,100,000",2024
Rafaël Harvey-Pinard,MTL,"1,200,000","1,100,000",2024
Joey Daccord,SEA,"1,200,000","1,200,000",2024
"Merrill, Jon",MIN,"1,200,000","1,200,000",2024
Sam Lafferty,VAN,"1,150,000","1,150,000",2024
Steven Lorentz,FLA,"1,150,000","1,050,000",2024
Christian Fischer,DET,"1,125,000","1,125,000",2024
Travis Hamonic,OTT,"1,100,000","1,100,000",2024
Brandon Duhaime,MIN,"1,100,000","1,100,000",2024
Mathieu Olivier,CBJ,"1,100,000","1,100,000",2024
Ross Johnston,ANA,"1,100,000","1,100,000",2024
Marc Staal,PHI,"1,100,000","1,100,000",2024
Troy Stecher,ARI,"1,100,000","1,100,000",2024
Filip Zadina,SJS,"1,100,000","1,100,000",2024
Nikolai Knyzhov,SJS,"1,100,000","1,250,000",2024
Kyle Burroughs,SJS,"1,100,000","1,100,000",2024
Charlie Lindgren,WSH,"1,100,000","1,100,000",2024
Anthony Stolarz,FLA,"1,100,000","1,100,000",2024
Zach Bogosian,TBL,"1,050,000","850,000",2024
David Kämpf,TOR,"1,050,000","2,400,000",2024
Kevin Shattenkirk,BOS,"1,050,000","1,050,000",2024
Tanner Jeannot,TBL,"1,045,000","2,665,000",2024
"Perbix, Nick",TBL,"1,032,500","1,125,000",2024
Curtis Lazar,NJD,"1,000,000","1,000,000",2024
Tomáš Nosek,NJD,"1,000,000","1,000,000",2024
Jamie Benn,DAL,"1,000,000","9,500,000",2024
Scott Wedgewood,DAL,"1,000,000","1,000,000",2024
Pierre-Luc Dubois,LAK,"1,000,000","8,500,000",2024
Andreas Englund,LAK,"1,000,000","1,000,000",2024
Artemi Panarin,NYR,"1,000,000","11,642,857",2024
Mika Zibanejad,NYR,"1,000,000","8,500,000",2024
Logan Stanley,WPG,"1,000,000","1,000,000",2024
Connor McDavid,EDM,"1,000,000","12,500,000",2024
Mattias Janmark,EDM,"1,000,000","1,000,000",2024
Steven Stamkos,TBL,"1,000,000","8,500,000",2024
Juuso Välimäki,ARI,"1,000,000","1,000,000",2024
Logan O'Connor,COL,"1,000,000","1,050,000",2024
Kurtis MacDermid,COL,"1,000,000","987,500",2024
J.T. Miller,VAN,"1,000,000","8,000,000",2024
Nils Höglander,VAN,"1,000,000","1,100,000",2024
Tyler Myers,VAN,"1,000,000","6,000,000",2024
Alex Ovechkin,WSH,"1,000,000","9,500,000",2024
Milan Lucic,BOS,"1,000,000","1,000,000",2024
James van Riemsdyk,BOS,"1,000,000","1,000,000",2024
Aleksander Barkov,FLA,"1,000,000","10,000,000",2024
