證券代碼,簡稱,TSE 產業別,年月,財報發布日,ROA(A)稅後息前,ROE(B)－常續利益,營業毛利率,營業利益率,稅後淨利率,股利殖利率,研究發展費用率,營業費用率,常續性EPS,資產總額,負債總額,股東權益總額
1589,永冠-KY,05,201812,2019/3/19,-0.18,-1.16,15.64,-1.7,-3.55,,2.39,17.34,-2.98,14530637,6249674,8280963
1590,亞德客-KY,05,201812,2019/3/22,2.13,4.09,46.43,22.49,19.01,,3.49,23.94,15.94,35044491,17935492,17108999
1591,駿吉-KY,05,201812,2019/3/22,2.23,3.28,17.35,7,5.45,,0,10.35,1.44,729494,307041,422453
1593,祺驊,37,201812,2019/3/20,3.49,4.24,32.82,18.01,16.65,,3.84,14.81,3.76,1093478,194617,898861
1595,川寶,28,201812,2019/3/27,1.17,1.66,31.02,10.61,10.09,,4.73,20.41,4.02,3628000,1206417,2421583
1597,直得,05,201812,2019/3/22,2.96,5.58,48.43,32.49,23.53,,4.49,15.95,6.54,3247384,1311529,1935855
1598,岱宇,37,201812,2019/4/1,2.01,6.05,34.26,9.09,7.75,,1.47,25.18,0.96,7025308,4946787,2078521
1599,宏佳騰,05,201812,2019/3/27,2.42,3.75,25.59,7.58,11.37,,5.66,18.01,3.73,2204357,693357,1511000
1603,華電,06,201812,2019/7/25,0.24,0.34,7.5,2.67,2.55,,0,5.07,0.82,7830564,2925290,4905274
1604,聲寶,06,201812,2019/3/28,0.17,0.23,13.68,-3.22,1.18,,0,16.9,1.03,12260520,5824949,6435571
1605,華新,06,201812,2019/2/22,1.16,1.3,3.89,1.36,3.18,,0.05,2.53,3.43,132654110,53389767,79264343
1608,華榮,06,201812,2019/3/27,-1.51,0.31,2.78,0.76,-8.33,,,2.02,0.66,11420376,4133061,7287315
1609,大亞,06,201812,2019/3/25,0.7,-0.15,7.4,1.83,1.99,,0.27,5.57,0.14,20440904,12339250,8101654
1611,中電,06,201812,2019/4/1,2.48,0.38,27.42,0.76,23.98,,1.54,26.66,-0.05,5526763,1003795,4522968
1612,宏泰,06,201812,2019/3/28,-0.27,1.05,10.69,4.4,-1.71,,0,6.29,0.68,5158346,712027,4446319
1614,三洋電,06,201812,2019/3/27,0.49,0.58,21.44,3.96,3.2,,1.73,17.48,0.77,6511193,1294756,5216437
1615,大山,06,201812,2019/3/28,1.71,2.59,9.23,6.3,5.26,,0.12,2.92,1.75,2432174,768398,1663776
1616,億泰,06,201812,2019/3/29,-0.2,-0.8,6.28,0.24,-1.11,,0.2,6.04,-0.05,3099245,1491584,1607661
1617,榮星,06,201812,2019/3/26,1.56,2.81,13.63,5.82,5.18,,0.31,7.82,1.52,3123215,1347475,1775740
1618,合機,06,201812,2019/3/29,-1.63,-1.3,-5.09,-11.04,-19.54,,0.59,5.94,0.07,4234769,317528,3917241
1626,艾美特-KY,06,201812,2019/3/5,1.63,3.89,22.16,6.77,5.3,,1.76,15.37,-0.03,8366152,5893119,2473033
1701,中化,22,201812,2019/3/29,0.5,0.79,39.53,2.37,2.69,,6.68,37.16,1.24,10766302,5065145,5701157
1702,南僑,02,201812,2019/3/28,1.72,5.86,34.71,11.21,7.36,,1.83,23.5,4.1,22108863,15812842,6296021
1707,葡萄王,22,201812,2019/2/26,5.89,9.04,79.68,27.84,22.44,,1.76,51.84,9.56,10648049,3714779,6933270
1708,東鹼,21,201812,2019/3/4,0.75,0.91,14.87,3.02,6.8,,0,11.85,1.75,12206026,6405477,5800549
1709,和益,21,201812,2019/3/29,-0.47,-0.79,5.98,-2.53,-2.8,,0.53,8.23,0.76,11269474,3784514,7484960
1710,東聯,21,201812,2019/3/21,0.72,1.16,6.97,3.54,2.61,,0.53,3.44,1.99,36398220,17810505,18587715
1711,永光,21,201812,2019/3/29,0.59,0.8,22.92,3.73,2.81,,4.75,19.19,0.73,13858026,5944830,7913196
1712,興農,21,201812,2019/3/29,1.03,2.19,26.27,3.33,3.5,,0.78,22.95,1.72,14949970,7897866,7052104
1713,國化,21,201812,2019/3/22,0.62,0.67,7.74,-0.95,9.79,,0,8.69,0.76,2474323,159777,2314546
1714,和桐,21,201812,2019/3/29,0.86,1.04,7.87,2.92,2.07,,0.31,4.95,0.24,25423339,10907782,14515557
1717,長興,21,201812,2019/3/27,0.54,1.01,15.92,2.79,1.79,,3.3,13.13,1.12,54360279,32735110,21625169
1718,中纖,21,201812,2019/3/29,0.12,1.33,29.8,9.5,7.71,,,20.3,1.14,720906942,662626154,58280788
1720,生達,22,201812,2019/3/25,1.84,2.78,42.37,11.32,11.54,,5.57,31.06,2.11,6439113,2192801,4246312
1721,三晃,21,201812,2019/3/27,0.28,0.09,6.05,-2.37,0.92,,1.6,8.42,0.09,4103603,1828972,2274631
1722,台肥,21,201812,2019/3/29,0.83,0.44,22.06,6.46,20.32,,0.86,15.6,1.68,76399717,25616771,50782946
1723,中碳,21,201812,2019/3/21,3.04,5.26,23.15,19.66,16.2,,0.9,3.5,6.87,11716746,4361204,7355542
1725,元禎,21,201812,2019/3/25,0.54,0.87,3.89,1.35,1.18,,0,2.54,1.19,5302877,2232445,3070432
1726,永記,21,201812,2019/3/26,1.41,1.61,23.78,7.36,6.91,,3.13,16.42,4.52,10034420,1599408,8435012
1727,中華化,21,201812,2019/2/27,0.86,1.41,12.46,2.87,3.04,,1.97,9.58,0.83,2606662,1094220,1512442
1730,花仙子,21,201812,2019/2/27,3.76,6.6,42.03,11.89,10.01,,0.63,30.13,4.85,2852012,1202133,1649879
1731,美吾華,22,201812,2019/2/27,-0.31,-0.53,53.28,5.62,-3.31,,0,47.66,0.57,2672878,953451,1719427
1732,毛寶,21,201812,2019/3/27,1.2,1.55,37.31,6.74,5.31,,1.05,30.57,0.16,571406,141859,429547
1733,五鼎,22,201812,2019/3/27,-1.43,2.73,24.88,9.35,-7.35,,5.59,15.53,1.75,2545569,901696,1643873
1734,杏輝,22,201812,2019/3/29,-0.46,-1.16,39.32,-5.63,-5.28,,19.69,44.94,0,5878127,2455301,3422826
1735,日勝化,21,201812,2019/3/28,0.34,0.45,12.38,1.87,0.67,,2.03,10.51,0.1,2983111,1601455,1381656
1736,喬山,37,201812,2019/3/29,2.46,6.58,43.19,5.91,7.36,,1.74,37.28,1.3,23743198,15312597,8430601
1737,臺鹽,02,201812,2019/3/28,0.88,1.09,40.11,10.36,8.74,,2.28,29.75,1.76,7326012,1170420,6155592
1742,台蠟,21,201812,2019/3/29,-0.15,-0.63,4.98,-2.78,-2.18,,0.63,7.76,-1.41,1116979,540220,576759
1752,南光,22,201812,2019/3/13,0.8,1.74,27.94,7.48,5.72,,7.92,20.45,1.3,3027775,974638,2053137
1760,寶齡富錦,22,201812,2019/3/18,5.19,7.01,57.94,19.37,19.73,,9.46,38.57,2.07,1834875,484385,1350490
1762,中化生,22,201812,2019/3/29,-0.07,0.34,40.94,3.62,-1.78,,20.49,37.32,0.38,3221418,1237515,1983903
1773,勝一,21,201812,2019/2/27,3.82,4.88,23.17,12.22,11.22,,1.87,10.95,6.2,6090064,1281729,4808335
1776,展宇,21,201812,2019/3/29,-0.37,-0.77,13.01,0.24,-1.85,,1.68,12.77,-0.51,1968928,842833,1126095
1777,生泰,22,201812,2019/3/25,2.17,3.55,32.91,19.64,18.81,,3.38,13.28,5.16,1824694,725850,1098844
1781,合世,22,201812,2019/3/28,-1.35,-2.63,14.55,-12.39,-8.41,,4.52,26.95,-0.81,596236,245646,350590
1783,和康生,22,201812,2019/3/28,0.72,0.88,46.96,1.26,7.85,,21.57,45.7,0.83,1135457,292478,842979
1784,訊聯,22,201812,2019/3/28,0.51,0.77,56.42,2.29,4.32,,5.24,54.13,0.55,1783265,443086,1340179
1785,光洋科,31,201812,2019/3/28,-0.25,-2.5,10.98,4.51,-2.3,,1.67,6.47,0.23,19832186,14662418,5169768
1786,科妍,22,201812,2019/3/28,1.88,2.97,66.5,29.29,31.02,,12.47,37.21,1.64,1695797,617704,1078093
